customerID,CVV No,City
7590-VHVEG,35,Noida
5575-GNVDE,15,Delhi
3668-QPYBK,12,Chennai
7795-CFOCW,85,Kolkata
9237-HQITU,73.5,Chandigarh
9305-CDSKC,88.2,Delhi
1452-KIOVK,102.9,Noida
6713-OKOMC,117.6,Delhi
7892-POOKP,132.3,Chennai
6388-TABGU,147,Kolkata
9763-GRSKD,161.7,Chandigarh
7469-LKBCI,176.4,Delhi
8091-TTVAX,191.1,Noida
0280-XJGEX,205.8,Delhi
5129-JLPIS,220.5,Chennai
3655-SNQYZ,235.2,Kolkata
8191-XWSZG,249.9,Chandigarh
9959-WOFKT,264.6,Delhi
4190-MFLUW,279.3,Noida
4183-MYFRB,294,Delhi
8779-QRDMV,308.7,Chennai
1680-VDCWW,323.4,Kolkata
1066-JKSGK,338.1,Chandigarh
3638-WEABW,352.8,Delhi
6322-HRPFA,367.5,Noida
6865-JZNKO,382.2,Delhi
6467-CHFZW,396.9,Chennai
8665-UTDHZ,411.6,Kolkata
5248-YGIJN,426.3,Chandigarh
8773-HHUOZ,441,Delhi
3841-NFECX,455.7,Noida
4929-XIHVW,470.4,Delhi
6827-IEAUQ,485.1,Chennai
7310-EGVHZ,499.8,Kolkata
3413-BMNZE,514.5,Chandigarh
6234-RAAPL,529.2,Delhi
6047-YHPVI,543.9,Noida
6572-ADKRS,558.6,Delhi
5380-WJKOV,573.3,Chennai
8168-UQWWF,588,Kolkata
8865-TNMNX,602.7,Chandigarh
9489-DEDVP,617.4,Delhi
9867-JCZSP,632.1,Noida
4671-VJLCL,646.8,Delhi
4080-IIARD,661.5,Chennai
3714-NTNFO,676.2,Kolkata
5948-UJZLF,690.9,Chandigarh
7760-OYPDY,705.6,Delhi
7639-LIAYI,720.3,Noida
2954-PIBKO,735,Delhi
8012-SOUDQ,749.7,Chennai
9420-LOJKX,764.4,Kolkata
6575-SUVOI,779.1,Chandigarh
7495-OOKFY,793.8,Delhi
4667-QONEA,808.5,Noida
1658-BYGOY,823.2,Delhi
8769-KKTPH,837.9,Chennai
5067-XJQFU,852.6,Kolkata
3957-SQXML,867.3,Chandigarh
